seq_name,conf_thres,iou_thres,img_size,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassB_BasketballDrive_all,0.35,0.9,640,23.0,32.8,17.7,52.8,97.7,17,5,2,10,53,2053,100,112,49.2,0.184,11,88,0
ClassB_BasketballDrive_all,0.4,0.1,640,18.6,32.9,12.9,38.7,99.0,17,0,7,10,17,2662,71,96,36.7,0.176,12,59,0
ClassB_BasketballDrive_all,0.4,0.15,640,22.1,36.0,15.9,43.5,98.8,17,0,7,10,23,2455,65,95,41.5,0.180,12,54,1
ClassB_BasketballDrive_all,0.4,0.2,640,28.7,44.2,21.2,47.2,98.7,17,2,5,10,28,2292,57,85,45.3,0.181,7,50,0
ClassB_BasketballDrive_all,0.4,0.25,640,28.2,41.5,21.3,50.5,98.4,17,4,3,10,35,2152,55,82,48.4,0.184,9,46,0
ClassB_BasketballDrive_all,0.4,0.3,640,28.4,40.7,21.7,52.3,98.3,17,4,3,10,40,2071,53,78,50.2,0.184,10,43,0
ClassB_BasketballDrive_all,0.4,0.35,640,28.3,40.2,21.8,52.9,98.0,17,5,2,10,48,2048,52,76,50.6,0.184,9,43,0
ClassB_BasketballDrive_all,0.4,0.4,640,28.4,40.2,21.9,53.3,97.9,17,5,2,10,49,2030,51,74,51.0,0.186,9,42,0
ClassB_BasketballDrive_all,0.4,0.45,640,30.1,42.5,23.2,53.4,97.9,17,5,2,10,49,2025,50,74,51.1,0.186,8,42,0
ClassB_BasketballDrive_all,0.4,0.5,640,32.8,46.3,25.3,53.4,98.0,17,5,2,10,48,2026,52,76,51.1,0.185,8,44,0
ClassB_BasketballDrive_all,0.4,0.55,640,32.8,46.3,25.4,53.6,98.0,17,5,2,10,48,2018,53,76,51.2,0.185,9,45,1
ClassB_BasketballDrive_all,0.4,0.6,640,31.5,44.4,24.3,53.5,97.9,17,5,2,10,49,2020,54,77,51.1,0.186,9,46,1
ClassB_BasketballDrive_all,0.4,0.65,640,31.4,44.3,24.3,53.5,97.9,17,5,2,10,51,2019,54,78,51.1,0.186,9,46,1
ClassB_BasketballDrive_all,0.4,0.7,640,31.6,44.5,24.4,53.5,97.7,17,5,2,10,55,2022,56,78,50.9,0.185,9,48,1
ClassB_BasketballDrive_all,0.4,0.75,640,31.6,44.6,24.4,53.4,97.7,17,5,2,10,55,2025,57,79,50.8,0.185,9,49,1
ClassB_BasketballDrive_all,0.4,0.8,640,31.6,44.7,24.4,53.1,97.7,17,5,2,10,55,2036,63,83,50.4,0.184,10,53,1
ClassB_BasketballDrive_all,0.4,0.85,640,30.2,43.0,23.3,52.9,98.1,17,5,2,10,45,2046,70,83,50.3,0.184,11,58,1
ClassB_BasketballDrive_all,0.4,0.9,640,22.9,32.9,17.5,52.0,98.0,17,5,2,10,45,2084,91,102,48.9,0.184,10,78,0
ClassB_BasketballDrive_all,0.45,0.1,640,18.2,32.8,12.5,37.8,99.3,17,0,7,10,12,2702,71,98,35.9,0.174,11,60,0
ClassB_BasketballDrive_all,0.45,0.15,640,21.5,35.8,15.4,42.5,99.0,17,0,7,10,18,2499,67,99,40.5,0.180,12,56,1
ClassB_BasketballDrive_all,0.45,0.2,640,28.3,44.4,20.7,45.9,98.9,17,2,5,10,22,2349,61,92,44.0,0.181,8,53,0
ClassB_BasketballDrive_all,0.45,0.25,640,27.7,41.7,20.7,49.0,98.7,17,3,4,10,28,2218,57,88,47.0,0.183,9,48,0
ClassB_BasketballDrive_all,0.45,0.3,640,29.6,43.6,22.4,50.5,98.6,17,4,3,10,31,2150,54,82,48.6,0.183,8,46,0
ClassB_BasketballDrive_all,0.45,0.35,640,27.8,40.6,21.1,51.0,98.4,17,4,3,10,37,2128,53,79,49.0,0.182,7,46,0
ClassB_BasketballDrive_all,0.45,0.4,640,27.9,40.5,21.2,51.4,98.3,17,4,3,10,38,2111,51,77,49.4,0.184,7,44,0
ClassB_BasketballDrive_all,0.45,0.45,640,29.6,43.0,22.6,51.5,98.4,17,4,3,10,37,2106,52,79,49.5,0.184,7,45,0
ClassB_BasketballDrive_all,0.45,0.5,640,31.4,45.6,23.9,51.4,98.4,17,4,3,10,36,2111,55,82,49.3,0.184,7,48,0
ClassB_BasketballDrive_all,0.45,0.55,640,31.4,45.6,23.9,51.4,98.4,17,4,3,10,36,2110,55,82,49.3,0.184,7,48,0
ClassB_BasketballDrive_all,0.45,0.6,640,31.4,45.7,23.9,51.4,98.4,17,4,3,10,36,2112,55,82,49.3,0.184,7,48,0
ClassB_BasketballDrive_all,0.45,0.65,640,31.4,45.6,23.9,51.4,98.4,17,4,3,10,37,2110,55,83,49.3,0.184,7,48,0
ClassB_BasketballDrive_all,0.45,0.7,640,29.2,42.4,22.2,51.3,98.3,17,4,3,10,38,2115,57,84,49.1,0.183,7,50,0
ClassB_BasketballDrive_all,0.45,0.75,640,29.2,42.4,22.2,51.3,98.3,17,4,3,10,38,2118,58,84,49.0,0.183,7,51,0
ClassB_BasketballDrive_all,0.45,0.8,640,29.2,42.5,22.2,51.2,98.3,17,4,3,10,38,2121,61,85,48.9,0.183,8,52,0
