class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassB,ParkScene,13,22,32,9.6,56.1,5.2,8.0,90.7,4,0,0,4,5,566,4,7,6.5,0.278,0,4,0
ClassB,ParkScene,all,22,32,55.0,78.5,42.0,51.9,98.0,10,5,1,4,16,722,13,21,50.0,0.178,1,12,0
ClassB,ParkScene,0,22,64,63.1,71.0,56.2,77.7,99.5,3,2,1,0,2,126,8,12,76.0,0.156,1,7,0
ClassB,ParkScene,1,22,64,91.4,94.9,88.1,90.0,97.0,3,3,0,0,9,32,1,2,86.9,0.196,0,1,0
ClassB,ParkScene,13,22,64,9.2,51.7,5.0,8.1,87.7,4,0,1,3,7,565,3,8,6.5,0.294,0,3,0
ClassB,ParkScene,all,22,64,54.9,78.4,42.0,51.8,97.7,10,5,2,3,18,723,12,22,49.8,0.180,1,11,0
ClassB,ParkScene,0,26,16,63.7,72.6,56.2,76.0,99.5,3,2,1,0,2,136,6,10,74.6,0.154,1,5,0
ClassB,ParkScene,1,26,16,92.2,96.6,88.1,90.0,98.6,3,3,0,0,4,32,1,2,88.4,0.199,0,1,0
ClassB,ParkScene,13,26,16,9.2,52.5,5.0,8.3,91.1,4,0,1,3,5,564,5,8,6.7,0.300,0,5,0
ClassB,ParkScene,all,26,16,55.3,80.0,42.0,51.2,98.6,10,5,2,3,11,732,12,20,49.7,0.181,1,11,0
ClassB,ParkScene,0,26,32,62.8,70.4,56.0,77.9,99.3,3,2,1,0,3,125,8,12,76.0,0.153,1,7,0
ClassB,ParkScene,1,26,32,91.6,95.0,88.4,90.3,97.0,3,3,0,0,9,31,1,2,87.2,0.199,0,1,0
ClassB,ParkScene,13,26,32,7.5,49.0,4.1,7.3,93.8,4,0,0,4,3,570,5,8,6.0,0.254,0,5,0
ClassB,ParkScene,all,26,32,54.6,78.2,41.6,51.6,98.1,10,5,1,4,15,726,14,22,49.7,0.176,1,13,0
ClassB,ParkScene,0,26,64,63.2,71.1,56.2,77.6,99.5,3,2,1,0,2,127,6,10,76.1,0.154,1,5,0
ClassB,ParkScene,1,26,64,91.6,95.3,88.1,90.3,97.6,3,3,0,0,7,31,1,2,87.8,0.199,0,1,0
ClassB,ParkScene,13,26,64,4.6,34.1,2.4,6.2,92.7,4,0,0,4,3,577,9,10,4.2,0.281,0,9,0
ClassB,ParkScene,all,26,64,54.0,78.1,41.0,51.0,98.5,10,5,1,4,12,735,16,22,49.2,0.177,1,15,0
ClassB,ParkScene,0,30,16,62.8,70.4,56.2,78.3,99.3,3,2,1,0,3,123,7,11,76.5,0.156,1,6,0
ClassB,ParkScene,1,30,16,91.0,95.5,86.9,89.1,97.9,3,3,0,0,6,35,1,4,86.9,0.200,0,1,0
